metric,value
records,3028.0
chunk_size,400.0
chunk_overlap,80.0
full_token_mean,6019.9808454425365
full_token_median,5503.0
full_token_p95,13091.25
full_token_p99,18109.170000000002
full_over_512_count,3000.0
full_over_512_rate,0.9907529722589168
estimated_total_full_chunks,57717.0
estimated_chunks_mean,19.0610964332893
estimated_chunks_p95,41.0
records_with_section_titles,2695.0
records_with_section_titles_rate,0.8900264200792602
records_with_introduction_marker,2461.0
records_with_methods_marker,2150.0
records_with_results_marker,2160.0
records_with_discussion_marker,2256.0
records_with_conclusion_marker,1958.0
