abbreviation,count
DNA,10605
RNA,6303
PCR,4551
II,3131
HIV,2915
CI,2057
SD,1801
CA,1561
PBS,1513
HIV-1,1509
GFP,1461
CD4,1378
OR,1372
III,1367
RT-PCR,1299
GO,1260
IFN-,1169
ATP,1044
WT,1010
S1,979
EST,904
BMI,834
SNP,831
AIDS,824
US,822
ANOVA,822
MS,787
LPS,784
NS,777
NO,758
CD8,749
ER,744
SEM,732
BLAST,721
IV,706
GP,698
NF-,693
CT,678
CSF,673
ORF,665
AD,663
TGF-,645
COPD,638
ELISA,637
NA,634
E-,631
DC,631
TNF-,626
CO,623
S2,620
RT,609
IL-,594
SF-36,592
B-,585
KB,575
ID,571
LTR,562
DNA-,560
AS,543
CNS,532
X-,529
GC,522
MAPK,509
EDTA,508
PD,497
CP,493
SDS-PAGE,490
ML,486
UTR,484
TB,483
SAGE,483
TG,481
MHC,476
NCBI,473
D-,466
GA,462
MT,457
CHD,448
RA,444
LDL,442
