section_title,chunk_count
Results,853611
Discussion,426437
Methods,332761
Background,164022
Introduction,132707
Materials and Methods,132020
Results and Discussion,77467
Results and discussion,67210
Authors' contributions,57240
Materials and methods,51395
Conclusion,48363
Competing interests,42996
RESULTS,37681
DISCUSSION,31575
Supporting Information,30699
Supplementary Material,29329
recursive_fallback,26156
MATERIALS AND METHODS,19692
Conclusions,17043
Pre-publication history,15653
Results/Discussion,14262
Abbreviations,13512
Case presentation,11223
Experimental,11021
1. Introduction,8671
Related literature,8618
INTRODUCTION,7611
Methods/Design,7519
Findings,7093
4. Discussion,6798
3. Results,6377
Implementation,6100
Review,5233
METHODS,4357
2. Materials and Methods,3902
Experimental procedures,3648
The Study,3629
PATIENTS AND METHODS,3597
Method,3426
Consent,3164
whole_document,3141
Patients and methods,2728
RESULTS AND DISCUSSION,2591
Discussion and conclusion,2402
3. Results and Discussion,2281
2. Methods,2256
List of abbreviations,2253
1. INTRODUCTION,2165
Methods/design,2146
Appendix,2145
3. Discussion,2070
Reviewers' comments,1816
Case Report,1684
2. Results and Discussion,1683
Material and Methods,1669
Construction and content,1636
CASE REPORT,1611
Analysis,1602
Experimental Section,1598
CONCLUSION,1559
Availability and requirements,1530
Discussion and Conclusion,1459
4. DISCUSSION,1458
Experimental Procedures,1290
3. RESULTS,1290
Discussion and Conclusions,1284
Case report,1261
Material and methods,1256
Case Presentation,1226
Methods and design,1162
D ISCUSSION,1111
2. MATERIALS AND METHODS,1077
MATERIAL AND METHODS,1057
Key messages,1007
Results & Discussion,984
M ATERIALS AND M ETHODS,948
2. Case Report,888
CONCLUSIONS,877
Additional data files,852
2. Material and Methods,843
