metric,value
original_xml,153121
processed_documents,153121
chunked_documents,133539
excluded_documents,19582
total_chunks,3057078
token_count_over_512,0
token_count_over_512_rate,0.0
token_count_le_zero,0
empty_text_chunks,0
duplicate_chunk_ids,0
doc_id_missing,0
source_title_missing,11
pmcid_missing,0
source_file_missing,0
non_continuous_doc_count,0
total_chunks_mismatch_doc_count,0
max_index_mismatch_doc_count,0
elapsed_seconds,14505.399
excluded_reason_drop_no_text,15
excluded_reason_no_body_for_fulltext,19567
