sample_id,chunk_id,doc_id,top1_chunk_id,top1_is_self,top3_same_doc
0,PMCID:PMC176545::chunk_00000,PMCID:PMC176545,PMCID:PMC176545::chunk_00000,True,True
1,PMCID:PMC176545::chunk_00001,PMCID:PMC176545,PMCID:PMC176545::chunk_00001,True,True
2,PMCID:PMC176545::chunk_00002,PMCID:PMC176545,PMCID:PMC176545::chunk_00002,True,True
3,PMCID:PMC176545::chunk_00003,PMCID:PMC176545,PMCID:PMC176545::chunk_00003,True,True
4,PMCID:PMC176545::chunk_00004,PMCID:PMC176545,PMCID:PMC176545::chunk_00004,True,True
5,PMCID:PMC176545::chunk_00005,PMCID:PMC176545,PMCID:PMC176545::chunk_00005,True,True
6,PMCID:PMC176545::chunk_00006,PMCID:PMC176545,PMCID:PMC176545::chunk_00006,True,True
7,PMCID:PMC176545::chunk_00007,PMCID:PMC176545,PMCID:PMC176545::chunk_00007,True,True
8,PMCID:PMC176545::chunk_00008,PMCID:PMC176545,PMCID:PMC176545::chunk_00008,True,True
9,PMCID:PMC176545::chunk_00009,PMCID:PMC176545,PMCID:PMC176545::chunk_00009,True,True
10,PMCID:PMC176545::chunk_00010,PMCID:PMC176545,PMCID:PMC176545::chunk_00010,True,True
11,PMCID:PMC176545::chunk_00011,PMCID:PMC176545,PMCID:PMC176545::chunk_00010,False,True
12,PMCID:PMC176545::chunk_00012,PMCID:PMC176545,PMCID:PMC176545::chunk_00012,True,True
13,PMCID:PMC176545::chunk_00013,PMCID:PMC176545,PMCID:PMC176545::chunk_00013,True,True
14,PMCID:PMC176545::chunk_00014,PMCID:PMC176545,PMCID:PMC176545::chunk_00014,True,True
15,PMCID:PMC176545::chunk_00015,PMCID:PMC176545,PMCID:PMC176545::chunk_00015,True,True
16,PMCID:PMC176545::chunk_00016,PMCID:PMC176545,PMCID:PMC176545::chunk_00016,True,True
17,PMCID:PMC176545::chunk_00017,PMCID:PMC176545,PMCID:PMC176545::chunk_00017,True,True
18,PMCID:PMC176545::chunk_00018,PMCID:PMC176545,PMCID:PMC176545::chunk_00018,True,True
19,PMCID:PMC176545::chunk_00019,PMCID:PMC176545,PMCID:PMC176545::chunk_00019,True,True
